Link,Pilseta,Zemes Tips,Zemes Numurs,Datums,Datu iev.,Cena EUR,Cena m2,Platiba Daudzums,Platiba Mervieniba,Adrese
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/jekabpils/exdid.html,Jēkabpils un raj.,Zeme privātmājas būvēšanai,56010022069,['Datums: 10.11.2022 11:11'],11/28/2022,27900,27.03,1032,m²,Katoļu 7 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jurmala/kemeri/amfhd.html,Jūrmala,Komerciāla apbūve,13000264806,['Datums: 22.11.2022 12:41'],11/28/2022,27500,12.94,2125,m²,Bišu 12 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/saldus-and-reg/saldus/afnce.html,Saldus un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 22.11.2022 23:27'],11/28/2022,27500,7.24,0.38,ha.,Brīvības iela 48 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/bauska-and-reg/iecavas-nov/ajooi.html,Bauska un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 09.11.2022 20:40'],11/28/2022,27000,1.44,18800,m²,Vanči 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/atasienes-pag/pgcxg.html,Jēkabpils un raj.,Fermeru saimniecības,NA,['Datums: 19.11.2022 23:02'],11/28/2022,27000,0.68,4,ha.,"Atašiene, Bekeri "
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kraslava-and-reg/andrupenes-pag/bdpph.html,Krāslava un raj.,Lauksaimniecības zeme,60420040175,['Datums: 24.10.2022 14:44'],11/28/2022,27000,0.29,9.21,ha.,Zvirbuļi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kurmales-pag/jkhnp.html,Kuldīga un raj.,Lauksaimniecības zeme,NA,['Datums: 10.11.2022 14:28'],11/28/2022,27000,0.5,5.41,ha.,Cērpi 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/madona-and-reg/praulienas-pag/iffpf.html,Madona un raj.,Lauksaimniecības zeme,70860050108,['Datums: 26.11.2022 21:29'],11/28/2022,27000,0.34,8,ha.,1
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ogre-and-reg/lielvardes-l-t/beopc.html,Ogre un raj.,Zeme privātmājas būvēšanai,74330010057,['Datums: 23.11.2022 21:42'],11/28/2022,27000,1,2.7,ha.,Zeme 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/tukums-and-reg/zantes-pag/emgbn.html,Tukums un raj.,Komerciāla apbūve,90920020080,['Datums: 24.11.2022 19:54'],11/28/2022,27000,0.45,6,ha.,Dēliņu dīķis 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/valka-and-reg/smiltene/nnnkj.html,Valka un raj.,Zeme privātmājas būvēšanai,94150030331,['Datums: 22.11.2022 16:45'],11/28/2022,27000,22.84,1182,m²,Zaku 2b 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ventspils-and-reg/ventspils/hcplm.html,Ventspils un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 27.11.2022 13:39'],11/28/2022,27000,6.64,4064,m²,Bangu 15a 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/jekabpils-and-reg/kuku-pag/abnfc.html,Jēkabpils un raj.,Zeme privātmājas būvēšanai,56700060384,['Datums: 13.11.2022 21:15'],11/28/2022,26900,5.17,5200,m²,Strūgas 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/kuldiga/gcxbe.html,Kuldīga un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 20.11.2022 08:33'],11/28/2022,26845,6.5,4130,m²,Sakņu 7 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/ogre-and-reg/ikskiles-l-t/ahgkb.html,Ogre un raj.,Zeme privātmājas būvēšanai,NA,['Datums: 26.11.2022 12:19'],11/28/2022,26600,1.02,26000,m²,Priežkalni 
https://www.ss.com/msg/lv/real-estate/plots-and-lands/kuldiga-and-reg/edoles-pag/jdcld.html,Kuldīga un raj.,Lauksaimniecības zeme,62460020061,['Datums: 09.11.2022 14:57'],11/28/2022,26500,7.55,3510,m²,Grunduļi 
